obsid,canonical_source,class_label,start_time,exposure,target_name,FPMA_available,FPMB_available,archive_status,download_status,processing_status,exclusion_reason,source_id,exposure_a,exposure_b,public_date_mjd,pointing_separation_arcmin,identity_status,census_candidate,issue_flag,comments,solar_activity,data_gap,nupsdout,archive_cycle,archive_url
30602020007,1A 1742-289,NS,2022-04-19T04:36:11.520,78.4474,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,78.7582,78.4474,60062,3.4149709318128605,REVIEW_REQUIRED,False,0,STELLAR,null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020007/
30602020008,1A 1742-289,NS,2022-04-19T04:51:10.080,20414.5293,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,20509.722,20414.5293,60062,3.6950391903625683,REVIEW_REQUIRED,False,1,(5/6) idiagnostics / SL-AB-all,null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020008/
30602020009,1A 1742-289,NS,2022-04-23T19:01:12.000,221.9326,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,222.8338,221.9326,60062,3.6111985704948864,REVIEW_REQUIRED,False,0,STELLAR,null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020009/
30602020010,1A 1742-289,NS,2022-04-23T19:56:12.480,27115.5392,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,27260.9112,27115.5392,60062,3.620985452114949,REVIEW_REQUIRED,False,0,(6/6) idiagnostics,null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602020010/
30602022002,1A 1742-289,NS,2021-04-10T06:26:12.480,26354.9786,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,26525.8612,26354.9786,59323,3.9677704553048243,REVIEW_REQUIRED,False,0,(1/4),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602022002/
30602022004,1A 1742-289,NS,2021-04-11T06:36:08.640,24840.9892,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,25009.6058,24840.9892,59323,3.603423729819862,REVIEW_REQUIRED,False,0,(2/4),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602022004/
30602022006,1A 1742-289,NS,2021-04-14T02:11:11.040,19790.7585,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,19950.7597,19790.7585,59323,3.895628801724689,REVIEW_REQUIRED,False,0,(3/4),null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602022006/
30602022008,1A 1742-289,NS,2021-04-16T07:16:10.560,24745.6199,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,24908.8667,24745.6199,59330,3.853536916883084,REVIEW_REQUIRED,False,0,(4/4) / Kp=5,null,0,null,6,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/06/3/30602022008/
30702013002,1A 1742-289,NS,2022-05-20T02:41:08.160,21484.4941,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,21586.1867,21484.4941,60417,3.4579670578102304,REVIEW_REQUIRED,False,1,(1/5) / idiagnostics,Solar flare,0,null,7,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/07/3/30702013002/
30702013003,1A 1742-289,NS,2022-06-19T22:41:05.280,17459.4044,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,17617.766,17459.4044,60417,4.639024908598726,REVIEW_REQUIRED,False,0,(2/5) INERTIAL only / idiagnostics,null,0,null,7,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/07/3/30702013003/
30702013005,1A 1742-289,NS,2022-07-19T20:36:05.760,19643.9795,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,19855.7458,19643.9795,60417,2.3430063608896665,REVIEW_REQUIRED,False,0,(3/5) idiagnostics,null,0,null,7,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/07/3/30702013005/
30702013007,1A 1742-289,NS,2022-08-16T19:16:10.560,18590.7383,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED,1a_1742_289,18783.1483,18590.7383,60417,2.006907846493859,REVIEW_REQUIRED,False,1,(4/5) / idiagnostics / M-class solar flare,Solar flare,0,null,7,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/07/3/30702013007/
30702013008,1A 1742-289,NS,2023-04-07T00:16:07.680,263.6341,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,265.6457,263.6341,60417,5.096614771484411,REVIEW_REQUIRED,False,0,STELLAR,null,0,null,7,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/07/3/30702013008/
30702013009,1A 1742-289,NS,2023-04-07T00:56:09.600,19704.2289,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,19838.5504,19704.2289,60417,4.432517028918805,REVIEW_REQUIRED,False,0,(5/5) / idiagnostics,VLT-Gravity,0,null,7,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/07/3/30702013009/
30801024001,1A 1742-289,NS,2023-04-13T03:51:07.200,269.5447,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,270.8024,269.5447,60249,3.853967349780096,REVIEW_REQUIRED,False,0,STELLAR,null,0,null,8,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/08/3/30801024001/
30801024002,1A 1742-289,NS,2023-04-13T04:46:07.680,17460.4757,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,17585.9366,17460.4757,60249,3.6393361213331676,REVIEW_REQUIRED,False,0,(1/4) / idiagnostics,null,0,null,8,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/08/3/30801024002/
30801024003,1A 1742-289,NS,2023-04-16T01:11:08.160,16.5438,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,17.0709,16.5438,60249,4.34229235883836,REVIEW_REQUIRED,False,0,STELLAR,null,0,null,8,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/08/3/30801024003/
30801024004,1A 1742-289,NS,2023-04-16T02:01:06.240,20122.7576,SgrAstar,CATALOG_POSITIVE_EXPOSURE,CATALOG_POSITIVE_EXPOSURE,PUBLIC_ARCHIVED,NOT_DOWNLOADED,NOT_ATTEMPTED,NAME_REVIEW_REQUIRED;POSITION_REVIEW_REQUIRED,1a_1742_289,20272.9088,20122.7576,60249,4.136860848847035,REVIEW_REQUIRED,False,0,(2/4) / idiagnostics,null,0,null,8,https://heasarc.gsfc.nasa.gov/FTP/nustar/data/obs/08/3/30801024004/
