mission,obsid,physical_source
RXTE,93044-02-06-00,sax_j1810_8_2609
RXTE,93414-01-01-02,sax_j1810_8_2609
RXTE,93414-01-04-01,sax_j1810_8_2609
RXTE,93093-01-01-01,sax_j1810_8_2609
RXTE,93093-01-02-03,sax_j1810_8_2609
RXTE,93093-01-02-08,sax_j1810_8_2609
RXTE,93414-01-05-01,sax_j1810_8_2609
RXTE,40025-03-01-00,ser_x_1
RXTE,40025-03-01-02,ser_x_1
RXTE,40426-01-01-00,ser_x_1
RXTE,70027-04-01-00,ser_x_1
RXTE,70014-03-01-00,ser_x_1
RXTE,70014-03-01-01,ser_x_1
RXTE,70014-03-02-01,ser_x_1
RXTE,70027-04-08-00,ser_x_1
RXTE,20170-03-01-00,slx_1735_269
RXTE,20170-03-11-00,slx_1735_269
RXTE,60034-01-02-03,slx_1735_269
RXTE,80138-03-04-00,slx_1735_269
RXTE,80138-03-08-00,slx_1735_269
RXTE,94044-05-01-00,slx_1735_269
RXTE,96429-01-05-00,slx_1735_269
RXTE,96429-01-08-03,slx_1735_269
RXTE,80054-08-01-00,v4641_sgr
RXTE,80054-08-01-01,v4641_sgr
RXTE,80054-08-02-00,v4641_sgr
RXTE,91422-01-01-00,v4641_sgr
RXTE,95436-01-01-00,v4641_sgr
RXTE,50137-01-01-00,xte_j1118_480
RXTE,50407-01-02-00,xte_j1118_480
RXTE,50407-01-05-01,xte_j1118_480
RXTE,50407-01-10-01,xte_j1118_480
RXTE,50407-01-15-00,xte_j1118_480
RXTE,90011-01-01-09,xte_j1118_480
RXTE,90111-01-02-02,xte_j1118_480
RXTE,40401-01-96-01,xte_j1550_564
RXTE,50134-01-05-00,xte_j1550_564
RXTE,80135-01-04-01,xte_j1550_564
RXTE,40124-01-38-00,xte_j1859_226
RXTE,40124-01-49-00,xte_j1859_226
RXTE,40124-01-55-00,xte_j1859_226
RXTE,40124-01-58-03,xte_j1859_226
RXTE,40440-01-03-00,xte_j1859_226
NuSTAR,90801312001,1a_1744_361
NuSTAR,80001040002,1rxs_j180408_9_342058
NuSTAR,80001040004,1rxs_j180408_9_342058
NuSTAR,90101003002,1rxs_j180408_9_342058
NuSTAR,30363002002,4u_0614_09
NuSTAR,30702009006,4u_0614_09
NuSTAR,30702009010,4u_0614_09
NuSTAR,31001021002,4u_1323_62
NuSTAR,80701319002,4u_1543_475
NuSTAR,80702317002,4u_1543_475
NuSTAR,90702326002,4u_1543_475
NuSTAR,90702326004,4u_1543_475
NuSTAR,90702326008,4u_1543_475
NuSTAR,80401321001,4u_1608_522
NuSTAR,80401321002,4u_1608_522
NuSTAR,90002002002,4u_1608_522
NuSTAR,30101024002,4u_1636_536
NuSTAR,30102014002,4u_1636_536
NuSTAR,30102014004,4u_1636_536
NuSTAR,30102014006,4u_1636_536
NuSTAR,30401014002,4u_1636_536
NuSTAR,30101025002,4u_1705_44
NuSTAR,30401020002,4u_1728_34
NuSTAR,30401020004,4u_1728_34
NuSTAR,30401020006,4u_1728_34
NuSTAR,30401020008,4u_1728_34
NuSTAR,30401020010,4u_1728_34
