source_id,source_name,true_class,n_observations,p_NS,mean_probability,std_probability,minimum_probability,maximum_probability,fraction_correct,mean_signed_probability_error,median_nearest_training_spectral_distance,model,split
hete_j1900_1_2455,HETE J1900.1-2455,NS,30,0.7980671480386198,0.7858742408562157,0.09457637062030756,0.41975375236994206,0.9160629457655685,0.9666666666666667,-0.2141257591437843,0.09093985817073996,forest,loso
igr_j00291_5934,IGR J00291+5934,NS,5,0.7018049792764263,0.6871549857339023,0.14592840387074804,0.4174146181056186,0.8268673578189976,0.8,-0.3128450142660977,0.05719574589228225,forest,loso
ks_1731_260,KS 1731-260,NS,25,0.8530120633037416,0.8109311447052824,0.11958639153746252,0.6261147986686041,0.9592132500193535,1.0,-0.18906885529471762,0.14971983397691374,forest,loso
mxb_1658_298,MXB 1658-298,NS,25,0.795642726011165,0.7800966672841047,0.09128395163915896,0.5535339402563555,0.9066182140101436,1.0,-0.21990333271589535,0.10527453506790686,forest,loso
sax_j1750_8_2900,SAX J1750.8-2900,NS,32,0.8875912294405698,0.8718576554813248,0.0720434662611212,0.6514345482950743,0.9535431968697492,1.0,-0.12814234451867523,0.11781651414984923,forest,loso
sax_j1806_5_2215,SAX J1806.5-2215,NS,32,0.8669785937081989,0.8615328996130854,0.04568312494223692,0.7465861276898538,0.9310173097392798,1.0,-0.13846710038691457,0.07997393655999913,forest,loso
sax_j1808_4_3658,SAX J1808.4-3658,NS,14,0.7298965032711043,0.7231386982022182,0.07425588394164227,0.6171061305814804,0.8612570863779254,1.0,-0.2768613017977818,0.08382338384858902,forest,loso
sax_j1810_8_2609,SAX J1810.8-2609,NS,31,0.789569337542706,0.7850090779497086,0.05327102701562231,0.6314916367890222,0.891764532031182,1.0,-0.21499092205029136,0.0894364079437851,forest,loso
ser_x_1,Ser X-1,NS,17,0.9467493429458065,0.9467084849407447,0.0021718740697918176,0.9422172942285951,0.9497988152179434,1.0,-0.053291515059255334,0.24804197743256504,forest,loso
slx_1735_269,SLX 1735-269,NS,28,0.7560838532714272,0.736365266089895,0.09922808225685624,0.6044871758826931,0.9193990231187393,1.0,-0.26363473391010495,0.07346943387056151,forest,loso
v4641_sgr,V4641 Sgr,BH,5,0.35696010678955215,0.4441660396678559,0.307380588107261,0.035725561260444974,0.7511549518352452,0.4,0.4441660396678559,0.32607425875676815,forest,loso
xte_j1118_480,XTE J1118+480,BH,22,0.8315387842007183,0.8275281237246215,0.04065114637396812,0.7520696504575625,0.8968042552680204,0.0,0.8275281237246215,0.10868447060700928,forest,loso
xte_j1550_564,XTE J1550-564,BH,27,0.34656491145227447,0.46029707945619597,0.3332830080500627,0.01597222222222222,0.879246287578736,0.5185185185185185,0.46029707945619597,4.48604887506702,forest,loso
xte_j1859_226,XTE J1859+226,BH,23,0.4901560635407814,0.5129052738963127,0.36512794040757623,0.04695634920634921,0.9136735399833268,0.43478260869565216,0.5129052738963127,0.4359958029349527,forest,loso
