seed,fold,training_sources,training_sources_per_class,test_sources,training_source_ids,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy
201,grouped-03,6,3,6,4u_1543_475|4u_1746_37|gs_1354_64|mxb_1658_298|slx_1735_269|v4641_sgr,1.0,0.875,0.7071067811865476,0.8571428571428571,1.0,0.75,1.0,0.07406325378174752,0.8333333333333334
201,grouped-03,10,5,6,4u_1543_475|4u_1636_536|4u_1746_37|gs_1354_64|hete_j1900_1_2455|mxb_1658_298|sax_j1750_8_2900|v4641_sgr|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0943862441107803,1.0
202,grouped-03,4,2,6,cyg_x_2|gs_1354_64|slx_1735_269|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10984528440619544,1.0
202,grouped-03,6,3,6,4u_1705_44|4u_1746_37|cyg_x_2|gs_1354_64|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12068164342318106,1.0
202,grouped-03,10,5,6,4u_0614_09|4u_1543_475|4u_1735_444|cyg_x_2|gs_1354_64|hete_j1900_1_2455|slx_1735_269|v4641_sgr|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09708239195469599,1.0
203,grouped-03,4,2,6,4u_1543_475|4u_1735_444|hete_j1900_1_2455|xte_j1550_564,1.0,0.75,0.6324555320336759,0.8888888888888888,0.8,1.0,1.0,0.1548797506155911,0.8333333333333334
203,grouped-03,6,3,6,4u_0614_09|4u_1543_475|cyg_x_2|gs_1354_64|slx_1735_269|v4641_sgr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07790035576454375,1.0
203,grouped-03,10,5,6,1a_1744_361|4u_1543_475|4u_1608_522|4u_1636_536|cyg_x_2|gs_1354_64|sax_j1808_4_3658|v4641_sgr|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11203544069971459,1.0
204,grouped-03,4,2,6,4u_1746_37|ks_1731_260|v4641_sgr|xte_j1859_226,1.0,0.75,0.6324555320336759,0.8888888888888888,0.8,1.0,1.0,0.13047040274195504,0.8333333333333334
204,grouped-03,6,3,6,4u_1543_475|cyg_x_2|mxb_1658_298|ser_x_1|v4641_sgr|xte_j1859_226,1.0,0.75,0.5,0.6666666666666666,1.0,0.5,1.0,0.21382285925305086,0.6666666666666666
204,grouped-03,10,5,6,4u_1543_475|4u_1608_522|4u_1636_536|4u_1702_429|gs_1354_64|hete_j1900_1_2455|ks_1731_260|v4641_sgr|xte_j1550_564|xte_j1859_226,1.0,0.75,0.6324555320336759,0.8888888888888888,0.8,1.0,1.0,0.121924180230863,0.8333333333333334
200,grouped-04,4,2,5,aql_x_1|gx_339_4|sax_j1808_4_3658|xte_j1118_480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015723680753310775,1.0
200,grouped-04,6,3,5,4u_1608_522|4u_1735_444|gx_339_4|sax_j1750_8_2900|xte_j1118_480|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07780734097900113,1.0
200,grouped-04,10,5,5,4u_1543_475|aql_x_1|gx_339_4|hete_j1900_1_2455|mxb_1658_298|sax_j1750_8_2900|sax_j1810_8_2609|xte_j1118_480|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04088060456378667,1.0
201,grouped-04,4,2,5,sax_j1750_8_2900|sax_j1810_8_2609|v4641_sgr|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07269130827579293,1.0
201,grouped-04,6,3,5,4u_1254_69|4u_1543_475|4u_1636_536|4u_1746_37|gx_339_4|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06542260586680768,1.0
201,grouped-04,10,5,5,1a_1744_361|4u_1543_475|cyg_x_2|gx_339_4|mxb_1658_298|sax_j1750_8_2900|sax_j1810_8_2609|v4641_sgr|xte_j1118_480|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009786068835997322,1.0
202,grouped-04,4,2,5,4u_1636_536|4u_1702_429|gx_339_4|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015598909007242414,1.0
202,grouped-04,6,3,5,1a_1744_361|4u_1254_69|4u_1702_429|gx_339_4|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06254049528213917,1.0
202,grouped-04,10,5,5,4u_1636_536|4u_1702_429|4u_1746_37|gx_339_4|igr_j00291_5934|slx_1735_269|v4641_sgr|xte_j1118_480|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.043345582521596884,1.0
203,grouped-04,4,2,5,4u_1543_475|sax_j1806_5_2215|slx_1735_269|xte_j1550_564,1.0,0.75,0.4082482904638631,0.6666666666666666,1.0,0.5,1.0,0.22518779036226552,0.6
203,grouped-04,6,3,5,4u_0614_09|4u_1636_536|4u_1702_429|v4641_sgr|xte_j1118_480|xte_j1550_564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.053437028532024686,1.0
203,grouped-04,10,5,5,4u_1254_69|4u_1608_522|4u_1702_429|gx_339_4|igr_j00291_5934|sax_j1808_4_3658|v4641_sgr|xte_j1118_480|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05589945556281256,1.0
204,grouped-04,4,2,5,4u_1254_69|4u_1735_444|v4641_sgr|xte_j1118_480,1.0,0.75,0.4082482904638631,0.6666666666666666,1.0,0.5,1.0,0.36309446720795036,0.6
204,grouped-04,6,3,5,4u_1543_475|4u_1702_429|4u_1746_37|sax_j1750_8_2900|v4641_sgr|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008933229092881512,1.0
204,grouped-04,10,5,5,4u_0614_09|4u_1543_475|4u_1608_522|4u_1636_536|4u_1735_444|aql_x_1|v4641_sgr|xte_j1118_480|xte_j1550_564|xte_j1859_226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.052665229207559415,1.0
