rxte_obsid,native_channels_used,minimum_keV,maximum_keV,native_grid_id,native_array_path,gain_epoch,calibration_identifier,response_identifier,transformation,output_bins,output_minimum_keV,output_maximum_keV
91028-01-01-00,45,4.909602165222168,25.016420364379883,0e20739bc4551b5d6b761ebee4397479dab56393fbec2dd5b0316d72a69c671b,data/processed/native/91028-01-01-00.npz,response_specific_EBOUNDS,e05f2e35e51932ab4327e7aec35208ed84abcf0c51000dd0f34d46f8f72fa73f,xp91028010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91028-01-22-00,45,4.909204483032227,25.014312744140625,017c55d9bb2b6405ade5a292abbf0f0a124ceb09b763d1f63e8043a391947564,data/processed/native/91028-01-22-00.npz,response_specific_EBOUNDS,e913b088c96cf7f686480e4b73c22aa993a13a084377e42259c8e5732e3512db,xp91028012200.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91037-15-01-00,45,4.907016754150391,25.002716064453125,ee2859902fb50fdc51d782e7cf9b7b3652712f1620c0555e54460a593605cf44,data/processed/native/91037-15-01-00.npz,response_specific_EBOUNDS,5fd2c079aba341361356d8815ab6cb84f22e0a9bcaf057d002fc96519bb557f4,xp91037150100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91039-01-01-10,45,4.9080963134765625,25.008438110351562,0617efece89b1c2c3db49047c84c6c6bbbe83716c4680ebcb85bb78a55304904,data/processed/native/91039-01-01-10.npz,response_specific_EBOUNDS,e3f8f32de06731e3ea16aab16353ed37841c752050fc9ba83436cf952ee3faf7,xp91039010110.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91039-01-01-50,45,4.90730094909668,25.004222869873047,a94fbdeb62ea5f78dae25ed4908fc7d2e8075022e08218fecb2c07c2b598ac7d,data/processed/native/91039-01-01-50.npz,response_specific_EBOUNDS,5a5ccc0e6b514375c2301b523465f3aeb5bfd8e65907271292cbcc9ff2d331f5,xp91039010150.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91039-01-02-30,46,4.904321193695068,25.846256256103516,d9a818bb90ff5e7797d7c34c63c6c3f9dfb3ad033105f85aa267869092a78ba3,data/processed/native/91039-01-02-30.npz,response_specific_EBOUNDS,4c3e68fa95a73a8288012f36f185115b1e1e6f357b2036d79ac1374ea57c1273,xp91039010230.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91039-01-02-61,46,4.9036407470703125,25.842519760131836,3675fe900fea5024e4158b9ce6470fccbf8099cafc997970b704d857b0aa4869,data/processed/native/91039-01-02-61.npz,response_specific_EBOUNDS,a3a263a3d069b5cfd6165bcb01ae6a90009fde00493e26041382341d2f54abe7,xp91039010261.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91039-01-03-33,46,4.8930583000183105,25.784435272216797,033ed6eef8655d7a64759d1b518e9eaabff9004bb865dc778db8463137f7661f,data/processed/native/91039-01-03-33.npz,response_specific_EBOUNDS,66b864f01e64af6353d91738255b0597a4a433effb69934a7d75f2e3ece2f77e,xp91039010333.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91050-05-02-00,45,4.906590938568115,25.000459671020508,f3369cc5b0bf802cfa3304cf36b7fb1f6320f6381ee7294c5f07147a44fc0a93,data/processed/native/91050-05-02-00.npz,response_specific_EBOUNDS,586d5047a305f2545aa4683cbfd28fa1cfcbcc868fe060afc25ae19c4b328412,xp91050050200.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91050-05-03-00,45,4.9065632820129395,25.00031089782715,62d1861f173b5e674c000ad2e7a2d02da75e0f215eda4060b07b0d22361f83d0,data/processed/native/91050-05-03-00.npz,response_specific_EBOUNDS,0e6fb08aff265628a55764a96cc2a4b977eaa4c8302ad6761c5cf75b08a3d5d4,xp91050050300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91050-05-05-00,46,4.762570858001709,25.163795471191406,2f9eca470b6fef7b476863505b55174e609a3fa525d95ff3068a077181b6c99d,data/processed/native/91050-05-05-00.npz,response_specific_EBOUNDS,873837980bc2691162658f5792aba76175c0658643cc57fc54d861643b7974d2,xp91050050500.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91056-01-02-01,45,4.907897472381592,25.007383346557617,15a3215c75387f366228593b517b41f362430d649e88a808791a5bc02f217eaf,data/processed/native/91056-01-02-01.npz,response_specific_EBOUNDS,2de4e5fef9558e43ea43197c9e714a44179c90a2d511d0cb1b7b8897081f3d5d,xp91056010201.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91056-01-03-09,45,4.907556533813477,25.005577087402344,b738c3e4e18cc04cff95dcc5ea31d834b2869a6d87878466e33163dbf4206cd3,data/processed/native/91056-01-03-09.npz,response_specific_EBOUNDS,da93a35c8adcdf1b97128e0d3c052cdc169e900dc156c34b714b60a88736700c,xp91056010309.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91057-01-03-01,46,4.90562629699707,25.853422164916992,4ca534613bcf2b4e4afc705e23488b816ec232d67d0761967179c80daf24e4d1,data/processed/native/91057-01-03-01.npz,response_specific_EBOUNDS,f86bd2060fada6138cd4e9711078b907a7279d5b6a4075c6d0f739262ccf4853,xp91057010301.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91057-01-05-04,46,4.905143737792969,25.850770950317383,be9d3da60c1294ebf1b673886cdcafc0fe7c47cbc1c2574b31bacab720565f58,data/processed/native/91057-01-05-04.npz,response_specific_EBOUNDS,dc64c908d565762cde35332e61bfe3d7d16714f30626f4045238c6a9de244319,xp91057010504.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91057-01-08-00,46,4.904718399047852,25.84843635559082,b1f8c2ff6021ffef338c5b896b73361e4fba7df302d99601399ab364e9cd40a6,data/processed/native/91057-01-08-00.npz,response_specific_EBOUNDS,5432afb8183d442eb0719fcf6b4606a93efc5c3be42c22f040bbae3ff5e4a563,xp91057010800.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91057-01-11-00,46,4.9040093421936035,25.844545364379883,96fc4fe68d5efd4f5d8ad0b78b2f8aa14d1d27c5cb6f5d26672b922033953441,data/processed/native/91057-01-11-00.npz,response_specific_EBOUNDS,ec9a2aa61cdc2a81af9d76506ba88110aa6831a3d3265da1d6e12f6f5a3898cd,xp91057011100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91059-03-03-00,46,4.906307697296143,25.857160568237305,1eb0d7cf8cfb7beb71ba2ff603fb5d60fda3a2546e6b7a4df1afd68d4f8c027d,data/processed/native/91059-03-03-00.npz,response_specific_EBOUNDS,c03b969e2c3c07ad2701200b3dd28992fee76c4fc3a40cf8335164e9907d2e7d,xp91059030300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91105-04-08-00,45,4.909858226776123,25.017776489257812,688b969ad8dc11785bef3fa9ce39034954d1810ff306c34fba1813bd6ee894b1,data/processed/native/91105-04-08-00.npz,response_specific_EBOUNDS,1b55364fc0d546d12279dee4a451ff4bbf7bfe6ce31f7800c4ed0ad4afc27515,xp91105040800.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91105-04-27-00,45,4.907840728759766,25.007083892822266,61058f22c878b46fd91fa1e002c69642b714e97a1e511c8bdae5f05fd7402e2a,data/processed/native/91105-04-27-00.npz,response_specific_EBOUNDS,d1a9a06f01dbb4cb35508378e15ec14df7c8e00e1a7975f54a64011da8c50ae6,xp91105042700.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91105-04-70-00,46,4.90361213684082,25.842363357543945,9bb1fa96b80d5ac2b0c4d37fc71abbf99ee89aaa6baa218696d336f56d0da52d,data/processed/native/91105-04-70-00.npz,response_specific_EBOUNDS,a60957542c884567f856100c0e9ccb2dd9321e49208ba41b5b47165d6d456ae5,xp91105047000.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91152-06-01-10,46,4.754586696624756,25.135154724121094,ac5f44996fa466b54fd20a3e9476d3d91f13a185d42dc4ef425a5dc94d249fc3,data/processed/native/91152-06-01-10.npz,response_specific_EBOUNDS,0ea1364033dd0dd8ea86b5b34f6e588a3834bbf0faf7c8679962c99f4118f0dd,xp91152060110.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91152-06-02-00,46,4.889503479003906,25.76492691040039,0084284bd65be092a220e2673783e20101e5081d997e589cc02e017cf48f8a51,data/processed/native/91152-06-02-00.npz,response_specific_EBOUNDS,e4eb70ada9c4d592610969a748ff8e9c4b41b2679981f402fc2498f11d7e47ee,xp91152060200.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91405-01-27-00,46,4.905086994171143,25.850461959838867,7b0a7c8b720b1c6afe4bdec3c09e559447499f42c9f8f6662ec81fc38ad2a481,data/processed/native/91405-01-27-00.npz,response_specific_EBOUNDS,d91833dfe993f06d56e69ba963f6a3a290743979249d25c965c67fa13822ae82,xp91405012700.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91405-01-41-00,46,4.902336597442627,25.83536148071289,303882bb6c5db5cdf749bbc7211b734038fdef41ca6df0238d79df99e32bc91c,data/processed/native/91405-01-41-00.npz,response_specific_EBOUNDS,a1225a7da7a35668c02203378ddcf6e7c0937f44e9b841394585796c2a14b0b6,xp91405014100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91414-01-05-00,46,4.90406608581543,25.8448543548584,a00100c7860ebb8d0fe4589d0144b75fa56b9560b37dc7d32ea531413941cfda,data/processed/native/91414-01-05-00.npz,response_specific_EBOUNDS,63f834e51ba7b4d0e24b37e20c55d46ffb2651ae5c0f151523c9d7f3cff06b4a,xp91414010500.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91414-01-09-07,46,4.770185470581055,25.19111442565918,d294ee438c0a6d05d2a2899f701db6eeafff47292ebf4984f4bc6d7fd708f94a,data/processed/native/91414-01-09-07.npz,response_specific_EBOUNDS,f6999cb6a22c73ffbf81dc28d801aaa5867999c81c893ae27b14e7bc5e92e3ad,xp91414010907.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91418-01-03-01,45,4.907073974609375,25.003019332885742,459b1f94641a0e1a4853b054a0fb03004ef65876dfc818ba912fd06f8d02f694,data/processed/native/91418-01-03-01.npz,response_specific_EBOUNDS,9ff0ecc361269594391052726b9b46747c5f2e276e5aef615f61fc50a2831d91,xp91418010301.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91418-01-06-03,46,4.9063639640808105,25.857471466064453,40832e0d316de518c19a5f939b5a14ab7745b16bf3732499f9923f8734a30f0f,data/processed/native/91418-01-06-03.npz,response_specific_EBOUNDS,f1a1714ab00f79784805bebca36adcf344654900bd4b2b4ca6b14fbd11769bbd,xp91418010603.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91422-01-01-00,45,4.9072723388671875,25.004070281982422,fb400707efaa38ecf8d280f33b26a7e01e075a4e492a37811c6e0a0855689e40,data/processed/native/91422-01-01-00.npz,response_specific_EBOUNDS,078d10ca538e25895d4192abd40625d5afd94a8cc29bee774bb4be11fb35833b,xp91422010100.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91422-01-01-02,45,4.9072160720825195,25.00377082824707,2d78e79c1d488c09d668ba8972a90f0f974b9015e49d77863fb8e8384f2dc64b,data/processed/native/91422-01-01-02.npz,response_specific_EBOUNDS,5a10c20da3e4f54e10075d6b4d52596728e1300f308b028df5bf7e646ef2a3c0,xp91422010102.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91422-01-01-03,45,4.907159328460693,25.00347137451172,6aa4c72e0d85e16ebc35b28b8825b6fc7baa4fe63e539ad004f0f02c1f39c93b,data/processed/native/91422-01-01-03.npz,response_specific_EBOUNDS,1dc14c01a6b6b311751eebb4a5e345c1580c4398e9f8ef64c4ce37cb7173e211,xp91422010103.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
91425-01-04-02,46,4.903215408325195,25.840185165405273,cfac630fc6759fa50f1203440d42a781ee2c6067d4efaca60b3689b886ee76e4,data/processed/native/91425-01-04-02.npz,response_specific_EBOUNDS,ca1c248389d885ba6d4b383564f54898828091989454fa6f076ad79086ce076c,xp91425010402.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
92023-01-42-10,46,4.892268180847168,25.780099868774414,10ea00d2a19980f59cc580aaa56161945f328b73fc5c50e94ae41742e3f835b7,data/processed/native/92023-01-42-10.npz,response_specific_EBOUNDS,0b20ec094e67db834f00ee1c6cb77b19497f84dcc92c93d36a841a1432649073,xp92023014210.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
92023-01-43-00,46,4.897749900817871,25.810182571411133,8cfb4f720ab94d65da7d78c91cb8cd8b03d8b1d8cf1199e2b4b471f4b5f1467b,data/processed/native/92023-01-43-00.npz,response_specific_EBOUNDS,7d98d1a12331057142b7c1744bdc23f5b5890a71569965b48bec58ca2e1492e1,xp92023014300.rsp.gz,PCA_OGIP_RATE43_OVERLAP_V1,43,5.0,25.0
