permutation_seed,model,split,AUROC,balanced_accuracy,MCC,F1,precision,recall,PR_AUC,Brier,accuracy
112,forest,grouped,0.2987012987012987,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.6879573110423657,0.24011616458387428,0.7241379310344828
113,forest,observation,0.8506493506493507,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9512933610214536,0.13837353120356424,0.7931034482758621
113,forest,grouped,0.18181818181818182,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.6113957193621969,0.2461140337539339,0.7586206896551724
114,forest,observation,0.9805194805194805,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9945454545454544,0.0757566455601654,0.8620689655172413
114,forest,grouped,0.7987012987012987,0.6915584415584416,0.47543554877497435,0.8936170212765957,0.84,0.9545454545454546,0.9335393959933693,0.13230149137295652,0.8275862068965517
115,forest,observation,0.9285714285714285,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9768350131121029,0.12808364886270796,0.7931034482758621
115,forest,grouped,0.2012987012987013,0.45454545454545453,-0.15352206215727945,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.6264086324482326,0.2589392132615194,0.6896551724137931
116,forest,observation,0.974025974025974,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9924793388429751,0.10841049235949553,0.8275862068965517
116,forest,grouped,0.44155844155844154,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7840897378245801,0.2105300571463845,0.7586206896551724
117,forest,observation,0.8831168831168832,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.9547619725163348,0.14396056819374967,0.7586206896551724
117,forest,grouped,0.1428571428571429,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.597346645540396,0.24862584735729404,0.7241379310344828
118,forest,observation,0.8441558441558441,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9310986263899599,0.11473952110576223,0.8275862068965517
118,forest,grouped,0.39610389610389607,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.7080159390485029,0.22141975469478578,0.7241379310344828
119,forest,observation,0.7792207792207791,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.8983387665747642,0.1542485950986041,0.7586206896551724
119,forest,grouped,0.3181818181818182,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7236552853168948,0.23382888299829996,0.7586206896551724
120,forest,observation,0.9740259740259741,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9915203702753108,0.09731039738218292,0.8275862068965517
120,forest,grouped,0.6233766233766234,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.8490011459791282,0.18468889766010302,0.7586206896551724
121,forest,observation,0.9480519480519481,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.9810880673700977,0.07170039212628238,0.896551724137931
121,forest,grouped,0.7077922077922078,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.8091120271306335,0.12885060273313387,0.7586206896551724
122,forest,observation,0.9935064935064936,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9980237154150196,0.0909075874973265,0.8620689655172413
122,forest,grouped,0.6948051948051948,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.8281937454608436,0.17231852054786184,0.7586206896551724
123,forest,observation,0.8831168831168831,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9606741584556107,0.11691710635482375,0.8275862068965517
123,forest,grouped,0.577922077922078,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.8354859920896429,0.1928211614857576,0.7931034482758621
124,forest,observation,0.9155844155844156,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.9633943974037005,0.09388351336201935,0.896551724137931
124,forest,grouped,0.6038961038961039,0.6688311688311688,0.3825184261187248,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.8171919489580018,0.1842556832198162,0.7931034482758621
125,forest,observation,0.9805194805194805,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9945454545454544,0.09648879712654206,0.8620689655172413
125,forest,grouped,0.4545454545454546,0.45454545454545453,-0.15352206215727945,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.7900044296454565,0.2256892793304163,0.6896551724137931
126,forest,observation,0.9285714285714286,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9767276092374906,0.09951810396333821,0.8620689655172413
126,forest,grouped,0.5194805194805194,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7856062753386203,0.2019020490043735,0.7586206896551724
127,forest,observation,0.961038961038961,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9878223226049312,0.08810788346877677,0.8620689655172413
127,forest,grouped,0.6103896103896104,0.5974025974025974,0.24174688920761409,0.851063829787234,0.8,0.9090909090909091,0.8027961352072024,0.18526395105126742,0.7586206896551724
128,forest,observation,0.9545454545454545,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9856497649081379,0.12541366711286087,0.7931034482758621
128,forest,grouped,0.5584415584415585,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.77356203738052,0.19598700679469097,0.7241379310344828
129,forest,observation,0.9610389610389609,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9884283832109917,0.10364943196051772,0.8275862068965517
129,forest,grouped,0.4935064935064935,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.7644025101157162,0.18036088726966532,0.8275862068965517
130,forest,observation,0.9025974025974026,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9625099064006324,0.12312585043861277,0.7931034482758621
130,forest,grouped,0.38961038961038963,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.7756054928032536,0.22463167386892322,0.7241379310344828
131,forest,observation,0.9155844155844155,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.973688181256831,0.11905631646179206,0.8275862068965517
131,forest,grouped,0.3246753246753247,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.7062571929786112,0.2405175281961539,0.7241379310344828
132,forest,observation,1.0,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9999999999999998,0.10525955001004983,0.7931034482758621
132,forest,grouped,0.3961038961038961,0.45454545454545453,-0.15352206215727945,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.7316607584219165,0.22533352828631656,0.6896551724137931
133,forest,observation,0.9675324675324675,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9903148366784729,0.10438549042793802,0.8275862068965517
133,forest,grouped,0.6428571428571428,0.525974025974026,0.07299318686018119,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.8449497513527461,0.1977440447631723,0.7241379310344828
134,forest,observation,0.948051948051948,0.8344155844155845,0.7065409225848365,0.9333333333333333,0.9130434782608695,0.9545454545454546,0.9854654202480289,0.08177329069676272,0.896551724137931
134,forest,grouped,0.7987012987012987,0.6201298701298701,0.337593489228338,0.875,0.8076923076923077,0.9545454545454546,0.8820657386319452,0.14406287663974712,0.7931034482758621
135,forest,observation,0.9740259740259741,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9915203702753108,0.10074181677845888,0.8275862068965517
135,forest,grouped,0.4480519480519481,0.45454545454545453,-0.15352206215727945,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.7674714040052893,0.23795849167959285,0.6896551724137931
136,forest,observation,0.8571428571428571,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9499489646770571,0.124040279393677,0.8275862068965517
136,forest,grouped,0.37012987012987014,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.6760482203463039,0.21962194889954792,0.7586206896551724
137,forest,observation,0.8571428571428572,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9517542983722971,0.13850942072879693,0.7931034482758621
137,forest,grouped,0.2987012987012987,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.6556396337464857,0.226882241303414,0.7586206896551724
138,forest,observation,0.8701298701298701,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.957008193327195,0.12396254187883624,0.7931034482758621
138,forest,grouped,0.2142857142857143,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.6222012101676878,0.2340001089163751,0.7241379310344828
139,forest,observation,0.9090909090909091,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9728056294651883,0.12405353505765057,0.8275862068965517
139,forest,grouped,0.4285714285714286,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.7651806376654801,0.20219117013159676,0.7586206896551724
140,forest,observation,0.9740259740259741,0.6428571428571428,0.48249790963716394,0.8979591836734694,0.8148148148148148,1.0,0.9915203702753108,0.10703612257282574,0.8275862068965517
140,forest,grouped,0.4935064935064935,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.7883149036403031,0.19758970867972236,0.7241379310344828
141,forest,observation,0.9415584415584416,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9780577643397947,0.10008838662235925,0.8620689655172413
141,forest,grouped,0.3051948051948052,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.6959954849896305,0.22800947877931965,0.7586206896551724
142,forest,observation,0.9025974025974026,0.762987012987013,0.5958460099157059,0.9130434782608695,0.875,0.9545454545454546,0.9702545415415125,0.1150913775448313,0.8620689655172413
142,forest,grouped,0.3961038961038961,0.45454545454545453,-0.15352206215727945,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.7256424345725191,0.23266298263022878,0.6896551724137931
143,forest,observation,0.8506493506493507,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9481364815336566,0.11378819690197979,0.8620689655172413
143,forest,grouped,0.538961038961039,0.5487012987012987,0.16448792373994225,0.8571428571428571,0.7777777777777778,0.9545454545454546,0.7997834370689061,0.18374695710174807,0.7586206896551724
144,forest,observation,0.8376623376623376,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.9324622627535963,0.11017608613752054,0.896551724137931
144,forest,grouped,0.4610389610389611,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.762443937423839,0.20415477779236213,0.7586206896551724
145,forest,observation,0.9740259740259741,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.9915203702753108,0.07640882764120181,0.896551724137931
145,forest,grouped,0.5454545454545454,0.6201298701298701,0.337593489228338,0.875,0.8076923076923077,0.9545454545454546,0.744588384807994,0.17974158866250622,0.7931034482758621
146,forest,observation,0.961038961038961,0.7857142857142857,0.7091242083423347,0.9361702127659575,0.88,1.0,0.9881273206372019,0.08283676757818832,0.896551724137931
146,forest,grouped,0.8051948051948051,0.6201298701298701,0.337593489228338,0.875,0.8076923076923077,0.9545454545454546,0.9417456804496536,0.14735970938948614,0.7931034482758621
147,forest,observation,0.8701298701298701,0.5714285714285714,0.33502969713024494,0.88,0.7857142857142857,1.0,0.9539873690831087,0.13059402163374167,0.7931034482758621
147,forest,grouped,0.16233766233766234,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.6346678652800097,0.26561229623320604,0.7241379310344828
148,forest,observation,0.8181818181818181,0.4772727272727273,-0.10660035817780522,0.84,0.75,0.9545454545454546,0.9383270802464634,0.15230873142493517,0.7241379310344828
148,forest,grouped,0.42207792207792205,0.4318181818181818,-0.19160711550797563,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.7040137770347706,0.22610284748199969,0.6551724137931034
149,forest,observation,0.9415584415584415,0.7142857142857143,0.6021937915964948,0.9166666666666666,0.8461538461538461,1.0,0.9817955822002002,0.10662213438966325,0.8620689655172413
149,forest,grouped,0.18181818181818182,0.5,0.0,0.8627450980392157,0.7586206896551724,1.0,0.6347150440370815,0.23830634566961612,0.7586206896551724
