cohort,model,source_id,source_name,true_class,native_state_label,observations,mean_p_NS,median_p_NS,min_p_NS,max_p_NS,fraction_correct
HEASOFT_MATCHED,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.4595953342061594,0.4595953342061594,0.4595953342061594,0.4595953342061594,0.0
HEASOFT_MATCHED,logistic,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,5,0.5362754481948431,0.5254836524032971,0.5131639490028955,0.5827720559485107,1.0
HEASOFT_MATCHED,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.749321526011083,0.749321526011083,0.749321526011083,0.749321526011083,1.0
HEASOFT_MATCHED,logistic,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.8036857657421296,0.8036857657421296,0.8036857657421296,0.8036857657421296,1.0
HEASOFT_MATCHED,logistic,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.3454443230704212,0.3454443230704212,0.2315343649957555,0.459354281145087,1.0
HEASOFT_MATCHED,logistic,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,7,0.5088775844233483,0.4866117767405253,0.4065168885199614,0.6075513070601736,0.5714285714285714
HEASOFT_MATCHED,logistic,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,1,0.0762317873539901,0.0762317873539901,0.0762317873539901,0.0762317873539901,1.0
HEASOFT_MATCHED,logistic,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,1,0.5790221181613363,0.5790221181613363,0.5790221181613363,0.5790221181613363,0.0
HEASOFT_VALIDATION,forest,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,2,0.9764447508625669,0.9764447508625669,0.976227359558219,0.9766621421669148,1.0
HEASOFT_VALIDATION,forest,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.785767019146462,0.785767019146462,0.785767019146462,0.785767019146462,0.0
HEASOFT_VALIDATION,forest,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.8065460349790725,0.8065460349790725,0.8065460349790725,0.8065460349790725,0.0
HEASOFT_VALIDATION,forest,4u_1608_522,4U 1608-522,NS,NS_ATOLL_ISLAND,1,0.8800091845091172,0.8800091845091172,0.8800091845091172,0.8800091845091172,1.0
HEASOFT_VALIDATION,forest,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.46076134609135283,0.5809864627122008,0.1095393070226321,0.7909615923581954,0.42857142857142855
HEASOFT_VALIDATION,forest,gx_339_4,GX 339-4,BH,BH_HIGH_SOFT,1,0.5798545617306714,0.5798545617306714,0.5798545617306714,0.5798545617306714,0.0
HEASOFT_VALIDATION,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.9845605838345715,0.9880586921474084,0.9753143672088976,0.9903086921474084,1.0
HEASOFT_VALIDATION,forest,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.7254202695666554,0.7254202695666554,0.7254202695666554,0.7254202695666554,1.0
HEASOFT_VALIDATION,forest,sax_j1810_8_2609,SAX J1810.8-2609,NS,NS_LOW_HARD,5,0.7367421395547049,0.718905212434406,0.7111513756420669,0.7979337712191845,1.0
HEASOFT_VALIDATION,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_BANANA,1,0.9881533407542824,0.9881533407542824,0.9881533407542824,0.9881533407542824,1.0
HEASOFT_VALIDATION,forest,ser_x_1,Ser X-1,NS,NS_ATOLL_UPPER_BANANA,1,0.9836749954189534,0.9836749954189534,0.9836749954189534,0.9836749954189534,1.0
HEASOFT_VALIDATION,forest,v4641_sgr,V4641 Sgr,BH,BH_LOW_HARD,2,0.4297140685187332,0.4297140685187332,0.2858163362353139,0.5736118008021526,0.5
HEASOFT_VALIDATION,forest,xte_j1118_480,XTE J1118+480,BH,BH_LOW_HARD,7,0.7974599296809508,0.7952491402155075,0.7110896876089136,0.889867016439042,0.0
HEASOFT_VALIDATION,forest,xte_j1550_564,XTE J1550-564,BH,BH_LOW_HARD,1,0.1690698051948052,0.1690698051948052,0.1690698051948052,0.1690698051948052,1.0
HEASOFT_VALIDATION,forest,xte_j1859_226,XTE J1859+226,BH,BH_SOFT_INTERMEDIATE,1,0.9168350022406172,0.9168350022406172,0.9168350022406172,0.9168350022406172,0.0
HEASOFT_VALIDATION,logistic,1a_1744_361,1A 1744-361,NS,NS_ATOLL_BANANA,2,0.7002702093977742,0.7002702093977742,0.7001082977078794,0.7004321210876691,1.0
HEASOFT_VALIDATION,logistic,4u_1543_475,4U 1543-475,BH,BH_HARD,1,0.6634408483106918,0.6634408483106918,0.6634408483106918,0.6634408483106918,0.0
HEASOFT_VALIDATION,logistic,4u_1543_475,4U 1543-475,BH,BH_THERMAL_DOMINANT,1,0.63302512458392,0.63302512458392,0.63302512458392,0.63302512458392,0.0
HEASOFT_VALIDATION,logistic,4u_1608_522,4U 1608-522,NS,NS_ATOLL_ISLAND,1,0.6029691411128376,0.6029691411128376,0.6029691411128376,0.6029691411128376,1.0
HEASOFT_VALIDATION,logistic,gs_1354_64,GS 1354-64,BH,BH_LOW_HARD,7,0.3277512083135491,0.3329054200810982,0.213419712370754,0.4607901673350317,1.0
HEASOFT_VALIDATION,logistic,gx_339_4,GX 339-4,BH,BH_HIGH_SOFT,1,0.6566026599924454,0.6566026599924454,0.6566026599924454,0.6566026599924454,0.0
HEASOFT_VALIDATION,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_BANANA,3,0.7594842629983178,0.7581859808464148,0.742641276736829,0.7776255314117095,1.0
HEASOFT_VALIDATION,logistic,ks_1731_260,KS 1731-260,NS,NS_ATOLL_ISLAND,1,0.4556194217630066,0.4556194217630066,0.4556194217630066,0.4556194217630066,0.0
