rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes,selection_method,inspection_sample
95416-01-01-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,95416,14,55281.43162,1295.0,1133.0,AO14/P95416/95416-01-01-00,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
95416-01-01-02,1a_1744_361,1A 1744-361,A1744-361,NS,NS,95416,14,55284.57261,5154.0,2812.0,AO14/P95416/95416-01-01-02,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
95416-01-01-03,1a_1744_361,1A 1744-361,A1744-361,NS,NS,95416,14,55285.35487,3328.0,2515.0,AO14/P95416/95416-01-01-03,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
95416-01-02-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,95416,14,55288.82508,10567.0,7350.0,AO14/P95416/95416-01-02-00,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
95416-01-02-02,1a_1744_361,1A 1744-361,A1744-361,NS,NS,95416,14,55291.25057,3664.0,2836.0,AO14/P95416/95416-01-02-02,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,False
96437-01-02-00,1a_1744_361,1A 1744-361,A1744-361,NS,NS,96437,15,55806.41183,5656.0,3221.0,AO15/P96437/96437-01-02-00,explicit_designation_and_independent_catalog_position,high,0.0003270835971806,267.0546,-36.1328,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_1a_1744_361.json,,chronological_even_rank_cap32_v1,True
10095-01-01-00,4u_0614_09,4U 0614+09,4U0614+091,NS,NS,10095,1,50195.79947,18547.0,10047.0,AO1/P10095/10095-01-01-00,explicit_designation_and_independent_catalog_position,high,0.0006918302770041,94.2813,9.1369,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,True
20428-01-01-03,4u_0614_09,4U 0614+09,4U_0614+091,NS,NS,20428,2,50697.87917,8580.0,6532.0,AO2/P20428/20428-01-01-03,explicit_designation_and_independent_catalog_position,high,0.0006918302770041,94.2813,9.1369,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
30054-01-02-03,4u_0614_09,4U 0614+09,4U_0614+091,NS,NS,30054,3,50959.09299,10600.0,6851.0,AO3/P30054/30054-01-02-03,explicit_designation_and_independent_catalog_position,high,0.0016008471105845,94.279,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
40030-01-14-00,4u_0614_09,4U 0614+09,4U_0614+091,NS,NS,40030,4,51183.98055,8195.0,2562.0,AO4/P40030/40030-01-14-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
40429-01-03-01,4u_0614_09,4U 0614+09,4U_0614+091,NS,NS,40429,4,51467.65837,25321.0,14029.0,AO4/P40429/40429-01-03-01,explicit_designation_and_independent_catalog_position,high,0.0016008471105845,94.279,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
40429-01-06-01,4u_0614_09,4U 0614+09,4U_0614+091,NS,NS,40429,4,51575.46958,18425.0,9937.0,AO4/P40429/40429-01-06-01,explicit_designation_and_independent_catalog_position,high,0.0016008471105845,94.279,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
